Category,Temperature_C,Is_Package_Open,Spoilage_Days
Vegetables,21.1,1,3
Vegetables,15.0,1,2
Hard_Cheese,-2.5,1,31
Vegetables,22.9,1,2
Fermented_Dairy,19.8,1,1
Vegetables,-2.1,0,13
Fruits,6.8,1,7
Liquid_Dairy,-6.6,0,9
Vegetables,9.8,0,7
Cooked_Meals,-16.6,0,99
Hard_Cheese,23.6,1,3
Cooked_Meals,-5.3,1,2
Hard_Cheese,14.9,0,5
Meat_Poultry,22.6,0,1
Hard_Cheese,15.7,0,6
Vegetables,-13.9,1,115
Hard_Cheese,-14.5,0,93
Meat_Poultry,5.9,1,2
Vegetables,0.7,0,16
Fruits,24.1,0,5
Hard_Cheese,21.7,1,3
Meat_Poultry,10.1,0,3
Fruits,8.5,0,8
Vegetables,-6.8,1,8
Fruits,1.9,1,10
Liquid_Dairy,-6.6,1,3
Liquid_Dairy,-17.1,1,51
Liquid_Dairy,-4.1,0,11
Meat_Poultry,21.9,1,1
Fermented_Dairy,0.0,1,10
Vegetables,-5.8,1,11
Fermented_Dairy,-4.0,1,10
Fruits,16.0,1,3
Meat_Poultry,-15.6,1,83
Cooked_Meals,-16.2,1,47
Vegetables,11.8,1,4
Fruits,20.0,0,5
Meat_Poultry,-6.4,1,3
Hard_Cheese,10.5,0,15
Vegetables,-1.7,1,10
Hard_Cheese,-2.1,0,30
Fruits,-22.0,0,205
Vegetables,4.0,0,13
Liquid_Dairy,11.2,0,4
Fruits,6.7,0,10
Liquid_Dairy,13.7,0,2
Fruits,-24.2,1,133
Fruits,24.4,0,6
Vegetables,-21.8,0,258
Meat_Poultry,-20.0,0,173
Meat_Poultry,3.1,1,3
Meat_Poultry,-12.0,0,188
Vegetables,16.4,0,5
Hard_Cheese,-24.1,0,92
Cooked_Meals,-15.9,1,47
Fermented_Dairy,7.1,1,8
Fermented_Dairy,9.2,0,9
Fruits,-21.6,0,264
Fruits,-20.3,0,214
Cooked_Meals,-13.9,1,44
Liquid_Dairy,-6.4,1,3
Fruits,-20.5,0,253
Fruits,0.1,1,9
Liquid_Dairy,-4.8,1,3
Cooked_Meals,8.9,0,2
Meat_Poultry,5.6,0,6
Fermented_Dairy,7.8,0,10
Liquid_Dairy,21.5,1,1
Cooked_Meals,-13.7,1,48
Fruits,-9.3,1,8
Cooked_Meals,-6.8,1,2
Meat_Poultry,15.1,0,1
Fermented_Dairy,-11.2,1,48
Fruits,1.2,1,10
Liquid_Dairy,8.8,1,2
Fruits,15.6,1,3
Fruits,5.5,0,11
Liquid_Dairy,-21.9,1,39
Hard_Cheese,-1.1,1,23
Fermented_Dairy,-11.2,1,49
Fermented_Dairy,13.6,1,2
Fruits,-9.2,1,10
Fermented_Dairy,-12.3,0,96
Liquid_Dairy,-0.1,1,3
Fruits,-22.4,1,119
Vegetables,-24.5,1,129
Hard_Cheese,-14.8,1,48
Fruits,16.5,1,3
Vegetables,-1.5,1,10
Fermented_Dairy,12.4,0,5
Meat_Poultry,-23.7,0,201
Cooked_Meals,-23.3,0,78
Meat_Poultry,15.2,1,1
Fruits,-5.6,1,11
Vegetables,6.0,0,13
Meat_Poultry,-24.4,1,97
Vegetables,8.7,0,10
Fruits,22.0,0,5
Meat_Poultry,-3.8,0,8
Fruits,-23.2,1,130
Hard_Cheese,22.2,0,6
Vegetables,1.1,0,13
Cooked_Meals,18.6,0,1
Fruits,9.5,0,7
Cooked_Meals,7.3,0,3
Liquid_Dairy,-13.6,0,93
Hard_Cheese,-8.5,0,34
Fermented_Dairy,7.5,0,10
Fruits,5.0,0,11
Fruits,7.3,0,9
Cooked_Meals,24.9,0,1
Fermented_Dairy,10.4,1,5
Fruits,-16.2,1,135
Hard_Cheese,17.9,1,3
Hard_Cheese,1.1,1,24
Liquid_Dairy,1.1,1,3
Hard_Cheese,-5.7,1,29
Fermented_Dairy,-9.1,1,10
Meat_Poultry,-0.7,1,3
Meat_Poultry,14.2,0,1
Fermented_Dairy,-14.8,1,44
Cooked_Meals,16.3,0,1
Vegetables,21.4,1,3
Vegetables,4.6,1,10
Vegetables,7.1,0,9
Meat_Poultry,-22.6,0,188
Vegetables,20.1,1,3
Liquid_Dairy,-22.7,1,46
Fermented_Dairy,0.8,1,10
Meat_Poultry,8.1,0,5
Vegetables,12.9,1,2
Liquid_Dairy,-4.8,0,11
Fermented_Dairy,7.3,0,10
Fruits,-14.4,0,218
Liquid_Dairy,-13.0,1,46
Liquid_Dairy,-14.1,1,40
Fruits,-15.3,0,219
Cooked_Meals,-19.8,1,45
Liquid_Dairy,-14.1,0,100
Fruits,-11.8,1,108
Hard_Cheese,-0.2,0,34
Fermented_Dairy,-21.8,0,78
Liquid_Dairy,-15.2,1,43
Hard_Cheese,-20.3,1,40
Meat_Poultry,-8.9,1,3
Vegetables,-14.8,0,213
Vegetables,24.2,0,5
Vegetables,22.2,1,3
Fermented_Dairy,4.7,0,13
Meat_Poultry,-1.9,0,7
Fermented_Dairy,-23.0,1,41
Hard_Cheese,6.3,1,20
Vegetables,-0.5,1,9
Cooked_Meals,13.7,1,1
Liquid_Dairy,-20.5,0,78
Vegetables,14.4,1,2
Fruits,-15.2,1,111
Cooked_Meals,-24.0,1,47
Liquid_Dairy,12.0,0,4
Liquid_Dairy,-23.2,0,94
Cooked_Meals,-8.1,0,4
Fermented_Dairy,7.4,1,7
Liquid_Dairy,4.0,1,3
Cooked_Meals,-2.3,0,4
Meat_Poultry,24.5,0,1
Cooked_Meals,21.2,1,1
Fruits,8.3,0,9
Fermented_Dairy,-7.6,0,12
Liquid_Dairy,-18.7,0,82
Fermented_Dairy,9.8,1,6
Cooked_Meals,17.7,1,1
Vegetables,21.5,0,6
Hard_Cheese,21.2,1,3
Cooked_Meals,-12.1,0,81
Hard_Cheese,-6.7,1,31
Fermented_Dairy,19.9,1,1
Fruits,-0.9,0,12
Hard_Cheese,-23.6,0,78
Meat_Poultry,-3.2,0,6
Fermented_Dairy,-0.7,0,13
Cooked_Meals,-8.8,0,4
Hard_Cheese,-22.8,0,93
Hard_Cheese,23.9,0,6
Vegetables,-16.4,0,271
Vegetables,-6.3,0,13
Meat_Poultry,18.6,1,1
Hard_Cheese,13.8,1,5
Cooked_Meals,1.0,1,1
Vegetables,-11.9,0,217
Hard_Cheese,-0.7,1,29
Fermented_Dairy,-3.8,0,15
Fruits,23.9,1,3
Cooked_Meals,-0.9,1,1
Fruits,-20.8,1,105
Cooked_Meals,-21.1,0,98
Vegetables,-18.8,1,129
Liquid_Dairy,24.8,0,1
Vegetables,13.2,0,4
Hard_Cheese,19.9,1,3
Liquid_Dairy,2.5,1,3
Fruits,15.1,0,5
Cooked_Meals,-12.3,1,43
Fermented_Dairy,4.6,1,9
Hard_Cheese,-22.5,1,44
Liquid_Dairy,-4.6,1,3
Fermented_Dairy,-15.5,1,39
Fermented_Dairy,17.2,0,3
Meat_Poultry,18.0,0,1
Hard_Cheese,24.0,1,3
Hard_Cheese,-22.6,0,103
Fermented_Dairy,18.8,0,3
Vegetables,17.7,1,3
Meat_Poultry,-7.1,0,6
Meat_Poultry,-21.8,1,93
Cooked_Meals,-12.7,0,79
Vegetables,23.9,0,5
Cooked_Meals,2.5,0,4
Hard_Cheese,7.1,0,21
Fruits,5.8,1,9
Fruits,13.1,0,4
Meat_Poultry,24.7,1,1
Meat_Poultry,-6.0,1,3
Liquid_Dairy,17.4,1,1
Hard_Cheese,5.3,0,25
Hard_Cheese,19.6,1,3
Liquid_Dairy,5.5,1,3
Cooked_Meals,-9.2,1,2
Cooked_Meals,-18.6,0,78
Fruits,2.5,0,12
Cooked_Meals,9.0,1,1
Fruits,8.1,1,7
Cooked_Meals,22.8,1,1
Fruits,-5.5,0,15
Cooked_Meals,-0.8,1,2
Cooked_Meals,-21.8,1,45
Meat_Poultry,-16.3,1,102
Liquid_Dairy,9.9,0,5
Fruits,-2.1,0,16
Fermented_Dairy,1.6,1,10
Liquid_Dairy,-16.0,1,47
Fermented_Dairy,-4.2,0,15
Cooked_Meals,-12.6,1,40
Liquid_Dairy,20.9,1,1
Fruits,-11.1,0,233
Vegetables,9.9,1,5
Vegetables,5.4,0,11
Hard_Cheese,-22.2,1,44
Vegetables,1.2,1,9
Fermented_Dairy,4.3,1,10
Fruits,-20.4,1,110
Vegetables,22.0,1,3
Fermented_Dairy,-0.7,1,11
Fermented_Dairy,-8.5,1,10
Fermented_Dairy,-11.4,0,83
Fermented_Dairy,-4.2,1,8
Meat_Poultry,-19.5,0,184
Fruits,1.2,1,10
Meat_Poultry,-17.7,1,84
Cooked_Meals,-0.3,0,4
Meat_Poultry,9.4,1,2
Hard_Cheese,24.5,1,3
Cooked_Meals,11.2,1,1
Liquid_Dairy,13.9,1,1
Liquid_Dairy,7.7,0,6
Liquid_Dairy,-11.6,0,95
Liquid_Dairy,-12.1,0,91
Fermented_Dairy,14.1,1,2
Cooked_Meals,-17.6,0,92
Fruits,15.4,0,6
Fruits,14.0,0,2
Liquid_Dairy,-3.3,1,3
Liquid_Dairy,8.7,1,2
Fruits,12.7,0,4
Vegetables,-13.3,0,216
Cooked_Meals,-23.7,0,78
Fruits,-13.8,1,115
Vegetables,-22.7,1,136
Liquid_Dairy,-9.6,0,10
Hard_Cheese,-14.2,0,95
Meat_Poultry,21.5,0,1
Liquid_Dairy,1.8,1,3
Cooked_Meals,-3.3,1,2
Cooked_Meals,8.9,1,1
Fruits,-14.6,0,260
Cooked_Meals,-11.7,1,50
Fermented_Dairy,17.8,1,2
Liquid_Dairy,-14.7,0,83
Fruits,-9.7,1,9
Fruits,24.1,0,6
Meat_Poultry,-13.9,0,157
Fruits,20.6,1,3
Fermented_Dairy,-21.4,0,98
Fermented_Dairy,-24.2,0,103
Vegetables,-3.1,0,15
Meat_Poultry,-8.7,0,6
Cooked_Meals,-15.6,0,87
Meat_Poultry,-9.4,0,8
Liquid_Dairy,-9.6,1,3
Hard_Cheese,20.4,0,5
Fruits,19.7,1,3
Cooked_Meals,18.2,0,1
Cooked_Meals,19.6,0,1
Meat_Poultry,-22.5,1,96
Liquid_Dairy,17.3,1,1
Cooked_Meals,-24.6,0,95
Meat_Poultry,14.0,0,1
Hard_Cheese,-4.8,0,29
Cooked_Meals,13.7,0,1
Liquid_Dairy,8.6,1,2
Cooked_Meals,18.2,1,1
Hard_Cheese,22.9,1,3
Fruits,19.6,0,5
Liquid_Dairy,12.3,0,3
Meat_Poultry,13.7,0,1
Cooked_Meals,18.8,1,1
Liquid_Dairy,2.6,1,3
Liquid_Dairy,-11.8,0,87
Liquid_Dairy,16.5,0,1
Vegetables,-7.4,0,12
Hard_Cheese,24.2,1,3
Fruits,20.6,1,2
Fruits,19.0,0,5
Fruits,18.0,0,5
Meat_Poultry,-0.7,0,8
Fermented_Dairy,21.8,0,3
Vegetables,0.4,1,10
Fermented_Dairy,-10.2,1,40
Liquid_Dairy,4.6,1,3
Fermented_Dairy,10.0,0,7
Hard_Cheese,23.0,0,5
Cooked_Meals,-3.5,1,2
Hard_Cheese,10.0,0,15
Fermented_Dairy,20.7,0,2
Fruits,-1.6,0,15
Vegetables,-20.8,0,274
Fermented_Dairy,4.4,0,13
Fruits,-8.9,0,14
Fermented_Dairy,17.3,1,1
Cooked_Meals,-18.2,1,48
Cooked_Meals,21.6,1,1
Cooked_Meals,-20.6,0,86
Fermented_Dairy,16.6,0,2
Liquid_Dairy,-1.5,1,3
Hard_Cheese,-19.7,1,45
Liquid_Dairy,5.8,1,2
Fruits,-20.1,1,108
Liquid_Dairy,3.7,1,3
Fermented_Dairy,-5.2,1,11
Meat_Poultry,-13.2,1,80
Meat_Poultry,-16.4,0,177
Cooked_Meals,-14.1,1,40
Fermented_Dairy,-10.8,1,48
Liquid_Dairy,-16.1,1,41
Vegetables,-8.2,0,16
Fermented_Dairy,-19.4,0,84
Liquid_Dairy,13.9,1,1
Meat_Poultry,21.9,0,1
Liquid_Dairy,-2.5,0,10
Meat_Poultry,-1.8,1,2
Fruits,-5.7,0,13
Fermented_Dairy,13.8,1,2
Hard_Cheese,-17.4,0,87
Vegetables,-4.0,1,9
Meat_Poultry,-6.2,1,3
Vegetables,-20.2,0,248
Cooked_Meals,5.0,0,4
Meat_Poultry,11.1,0,3
Vegetables,19.3,0,5
Meat_Poultry,-0.9,0,6
Liquid_Dairy,4.0,1,3
Cooked_Meals,1.2,0,4
Fruits,-24.4,1,120
Cooked_Meals,-20.3,1,46
Fruits,21.0,1,3
Liquid_Dairy,14.7,1,1
Cooked_Meals,-23.9,1,49
Vegetables,-2.5,1,8
Vegetables,-5.4,1,9
Meat_Poultry,7.0,1,2
Fermented_Dairy,11.2,1,4
Hard_Cheese,-11.8,1,42
Fruits,-8.6,1,11
Liquid_Dairy,0.7,1,3
Hard_Cheese,22.8,1,3
Liquid_Dairy,0.6,1,3
Vegetables,-7.4,1,9
Fermented_Dairy,4.5,0,13
Cooked_Meals,-1.5,1,2
Cooked_Meals,-0.6,1,1
Vegetables,6.6,0,10
Fruits,-10.7,1,130
Hard_Cheese,-19.9,1,44
Fruits,-12.2,1,104
Hard_Cheese,-13.2,1,48
Vegetables,-1.3,1,11
Meat_Poultry,-8.1,0,7
Meat_Poultry,0.4,0,7
Liquid_Dairy,15.7,0,1
Vegetables,-3.3,0,15
Cooked_Meals,16.5,0,1
Cooked_Meals,20.3,1,1
Meat_Poultry,-10.9,0,203
Cooked_Meals,21.3,0,1
Fruits,-9.9,0,14
Hard_Cheese,-13.8,1,47
Liquid_Dairy,16.3,0,1
Hard_Cheese,8.2,0,18
Vegetables,-13.3,1,116
Hard_Cheese,-13.5,0,79
Meat_Poultry,11.7,0,3
Fruits,-7.4,0,15
Meat_Poultry,-2.7,1,3
Fruits,-22.7,0,218
Hard_Cheese,-22.5,1,50
Hard_Cheese,0.6,0,33
Fruits,14.1,0,3
Meat_Poultry,20.8,1,1
Hard_Cheese,19.0,1,3
Cooked_Meals,0.5,1,2
Hard_Cheese,-11.2,0,94
Fermented_Dairy,-9.3,1,8
Fruits,14.4,1,2
Liquid_Dairy,-16.0,1,42
Fermented_Dairy,-0.1,0,14
Meat_Poultry,5.3,0,6
Fruits,10.3,0,7
Meat_Poultry,8.7,0,5
Hard_Cheese,-12.2,1,42
Fruits,7.9,1,8
Fermented_Dairy,-9.3,0,14
Fermented_Dairy,5.1,0,12
Hard_Cheese,12.1,0,10
Fruits,-16.3,1,120
Hard_Cheese,-21.0,0,98
Liquid_Dairy,-1.2,1,3
Vegetables,-7.1,1,9
Vegetables,-9.6,0,15
Cooked_Meals,-20.3,0,78
Liquid_Dairy,-10.8,1,44
Cooked_Meals,13.4,0,1
Liquid_Dairy,-19.1,1,44
Liquid_Dairy,10.4,1,1
Fruits,-3.5,0,13
Meat_Poultry,7.8,0,4
Hard_Cheese,-15.8,0,86
Meat_Poultry,-16.6,0,167
Fermented_Dairy,-10.4,0,94
Fruits,1.0,1,11
Cooked_Meals,16.7,0,1
Liquid_Dairy,-24.7,0,93
Vegetables,-4.6,1,10
Vegetables,23.8,0,6
Liquid_Dairy,-19.3,1,46
Hard_Cheese,15.9,1,3
Fruits,-12.5,0,208
Hard_Cheese,-13.2,0,101
Fruits,-22.0,0,218
Cooked_Meals,13.3,0,1
Fruits,-6.8,1,10
Meat_Poultry,-13.4,1,85
Vegetables,-16.2,1,133
Meat_Poultry,-6.7,1,2
Liquid_Dairy,24.3,0,1
Cooked_Meals,-3.0,1,2
Hard_Cheese,-22.1,1,48
Meat_Poultry,10.7,0,3
Liquid_Dairy,-5.2,0,10
Vegetables,-24.7,0,214
Fermented_Dairy,9.0,0,9
Fermented_Dairy,4.0,0,13
Vegetables,-10.0,1,105
Fermented_Dairy,21.0,1,1
Fermented_Dairy,-11.2,0,100
Cooked_Meals,-1.3,1,2
Vegetables,23.5,1,3
Vegetables,-24.4,1,120
Fruits,-11.7,0,260
Fermented_Dairy,-9.1,0,12
Hard_Cheese,-6.6,0,28
Fruits,19.2,0,6
Meat_Poultry,-11.7,0,197
Cooked_Meals,8.8,1,1
Liquid_Dairy,6.3,1,3
Cooked_Meals,12.9,1,1
Liquid_Dairy,-3.2,0,9
Fermented_Dairy,-5.0,1,11
Meat_Poultry,-16.3,0,167
Meat_Poultry,1.0,1,3
Fermented_Dairy,19.9,0,2
Fermented_Dairy,-11.5,0,78
Vegetables,7.0,0,11
Liquid_Dairy,24.2,0,1
Fruits,-15.4,0,207
Meat_Poultry,-2.0,1,3
Cooked_Meals,-20.6,1,48
Fruits,9.4,0,8
Meat_Poultry,-17.3,1,86
Liquid_Dairy,-14.8,1,46
Cooked_Meals,14.6,0,1
Liquid_Dairy,16.9,0,1
Meat_Poultry,9.9,1,1
Cooked_Meals,7.1,0,3
Hard_Cheese,-24.8,1,46
Hard_Cheese,24.9,0,6
Meat_Poultry,4.9,0,7
Fermented_Dairy,15.7,0,3
Liquid_Dairy,18.2,1,1
Vegetables,20.5,0,6
Hard_Cheese,-12.0,1,45
Liquid_Dairy,-3.2,0,10
Hard_Cheese,-10.8,1,38
Liquid_Dairy,10.3,1,1
Vegetables,1.5,0,16
Vegetables,9.0,0,8
Liquid_Dairy,-9.1,0,11
Hard_Cheese,12.1,0,11
Vegetables,-21.4,0,226
Liquid_Dairy,21.5,1,1
Fermented_Dairy,-17.3,0,78
Hard_Cheese,-11.2,0,101
Liquid_Dairy,17.3,0,1
Meat_Poultry,12.6,0,2
Meat_Poultry,-7.4,0,7
Fermented_Dairy,-9.7,1,10
Hard_Cheese,13.5,1,6
Vegetables,4.3,0,12
Cooked_Meals,2.2,1,2
Liquid_Dairy,-6.9,0,10
Vegetables,10.3,0,8
Vegetables,10.8,1,4
Fermented_Dairy,10.0,1,5
Fermented_Dairy,4.2,1,10
Fruits,10.9,1,4
Fermented_Dairy,-22.6,0,85
Liquid_Dairy,9.2,1,2
Fruits,3.2,0,15
Fruits,-5.6,0,16
Liquid_Dairy,-13.7,0,97
Meat_Poultry,-14.0,0,162
Vegetables,-13.2,1,107
Liquid_Dairy,20.2,0,1
Fermented_Dairy,14.7,1,2
Fruits,-24.5,1,111
Vegetables,16.1,0,5
Vegetables,10.1,1,5
Cooked_Meals,-15.3,1,42
Cooked_Meals,-21.2,0,95
Fruits,-5.5,1,9
Liquid_Dairy,-4.6,0,11
Fruits,2.3,0,14
Vegetables,-12.3,1,125
Fermented_Dairy,-21.5,0,103
Fermented_Dairy,-10.2,0,98
Liquid_Dairy,-7.3,0,9
Vegetables,16.8,0,5
Hard_Cheese,-22.3,0,83
Hard_Cheese,17.1,1,3
Vegetables,4.6,0,11
Meat_Poultry,-0.6,0,6
Fermented_Dairy,9.5,1,6
Meat_Poultry,13.3,0,2
Vegetables,-6.3,0,16
Hard_Cheese,23.2,1,3
Liquid_Dairy,-1.8,1,3
Fruits,3.8,0,13
Meat_Poultry,-18.2,0,176
Meat_Poultry,-4.4,1,3
Fruits,1.7,0,14
Cooked_Meals,6.1,0,3
Hard_Cheese,22.9,1,3
Hard_Cheese,21.0,1,3
Hard_Cheese,-8.4,1,30
Liquid_Dairy,-9.8,0,11
Liquid_Dairy,5.5,1,3
Fruits,-6.0,0,15
Fruits,-13.0,1,109
Fermented_Dairy,23.4,0,3
Fruits,-15.4,1,118
Fermented_Dairy,8.0,0,8
Hard_Cheese,-10.6,0,96
Cooked_Meals,-12.8,0,91
Fermented_Dairy,20.9,1,2
Hard_Cheese,5.1,1,26
Meat_Poultry,23.9,1,1
Vegetables,8.4,0,10
Fermented_Dairy,6.8,0,12
Hard_Cheese,-1.7,0,31
Meat_Poultry,-17.5,1,84
Meat_Poultry,15.5,0,1
Vegetables,-12.5,0,206
Cooked_Meals,-7.7,0,4
Vegetables,-0.5,0,14
Fruits,1.5,0,16
Hard_Cheese,14.8,1,5
Hard_Cheese,24.5,0,6
Liquid_Dairy,23.1,1,1
Fruits,17.3,0,5
Cooked_Meals,-24.6,0,95
Hard_Cheese,13.6,1,6
Vegetables,-0.7,0,14
Liquid_Dairy,3.8,1,3
Hard_Cheese,10.6,1,14
Vegetables,-2.9,1,10
Fruits,-15.4,0,248
Meat_Poultry,-20.9,0,174
Fruits,15.1,0,6
Cooked_Meals,-1.5,0,4
Meat_Poultry,14.9,0,1
Cooked_Meals,-17.9,0,87
Meat_Poultry,15.1,1,1
Fermented_Dairy,22.3,0,2
Hard_Cheese,-8.6,0,30
Fruits,-13.9,0,273
Vegetables,-21.4,0,213
Meat_Poultry,23.5,0,1
Cooked_Meals,24.4,1,1
Cooked_Meals,-23.6,0,89
Hard_Cheese,8.2,1,19
Fermented_Dairy,-9.8,1,10
Fermented_Dairy,-9.7,1,9
Fruits,-2.0,0,13
Hard_Cheese,-0.8,1,30
Liquid_Dairy,12.5,1,1
Fermented_Dairy,1.8,0,15
Meat_Poultry,-24.5,0,162
Liquid_Dairy,24.3,1,1
Liquid_Dairy,-20.6,0,80
Liquid_Dairy,4.9,1,3
Fruits,14.8,0,3
Liquid_Dairy,23.6,0,1
Cooked_Meals,0.1,0,4
Fermented_Dairy,8.7,0,8
Vegetables,15.6,1,3
Hard_Cheese,-24.6,1,40
Hard_Cheese,-3.0,1,28
Vegetables,4.5,1,9
Hard_Cheese,-21.6,0,94
Fruits,11.0,0,6
Fermented_Dairy,10.2,1,5
Fruits,21.4,1,3
Vegetables,23.1,1,3
Fruits,-14.0,0,239
Fermented_Dairy,-23.2,1,48
Fermented_Dairy,8.3,1,7
Vegetables,1.4,1,10
Hard_Cheese,5.2,0,28
Meat_Poultry,-5.0,1,3
Meat_Poultry,-20.9,0,191
Meat_Poultry,-24.9,1,88
Hard_Cheese,-19.7,1,41
Liquid_Dairy,22.4,1,1
Cooked_Meals,22.8,1,1
Cooked_Meals,-14.8,0,81
Meat_Poultry,-11.2,0,197
Fruits,3.5,0,15
Fermented_Dairy,14.1,1,2
Meat_Poultry,15.3,0,1
Fermented_Dairy,-5.1,0,16
Liquid_Dairy,7.0,1,2
Hard_Cheese,25.0,0,7
Vegetables,6.7,0,10
Liquid_Dairy,17.7,1,1
Hard_Cheese,-4.6,1,28
Cooked_Meals,4.7,0,4
Fruits,12.9,0,4
Meat_Poultry,12.5,0,2
Hard_Cheese,6.7,0,25
Vegetables,-12.9,1,104
Fermented_Dairy,20.9,1,2
Fruits,-20.0,0,228
Vegetables,7.5,1,7
Meat_Poultry,13.5,1,1
Vegetables,3.6,0,13
Hard_Cheese,1.1,1,27
Meat_Poultry,-10.5,1,78
Meat_Poultry,-10.8,1,84
Vegetables,-13.7,1,132
Cooked_Meals,-6.7,1,2
Vegetables,-10.9,0,211
Fermented_Dairy,-15.8,0,93
Cooked_Meals,18.1,1,1
Vegetables,-22.8,0,273
Liquid_Dairy,17.4,0,1
Cooked_Meals,-15.5,1,43
Vegetables,-15.7,0,268
Vegetables,21.8,1,3
Fermented_Dairy,-15.7,1,42
Liquid_Dairy,-19.2,0,79
Cooked_Meals,-1.3,0,4
Liquid_Dairy,0.6,0,9
Fruits,20.8,0,5
Vegetables,-10.8,1,102
Hard_Cheese,2.3,1,28
Fruits,-22.4,1,103
Vegetables,20.6,1,3
Cooked_Meals,10.1,1,1
Cooked_Meals,10.4,0,2
Meat_Poultry,-0.5,0,8
Hard_Cheese,-2.9,0,27
Vegetables,18.8,1,3
Meat_Poultry,23.7,1,1
Cooked_Meals,-11.9,0,97
Vegetables,-10.7,0,224
Vegetables,-3.6,1,10
Vegetables,18.7,1,3
Hard_Cheese,-13.2,0,82
Meat_Poultry,-5.2,1,3
Vegetables,21.0,0,6
